,dominant topic,topic name,nums,positive rate,neutral rate,negative rate
0,6.0,"find wfh jobs, interviews & experience for jobs",1946,0.6423432682425488,0.20195272353545735,0.15570400822199384
1,10.0,"equipment (desk, chair) & health",276,0.7391304347826086,0.08333333333333333,0.17753623188405798
2,4.0,home & family,19,0.9473684210526315,0.0,0.05263157894736842
3,7.0,technology equipments issues,747,0.6867469879518072,0.17001338688085676,0.14323962516733602
4,8.0,surveys,159,0.7547169811320755,0.1069182389937107,0.13836477987421383
5,5.0,company's requirement & work experience,747,0.5863453815261044,0.2101740294511379,0.2034805890227577
6,9.0,make money online & ads,580,0.6879310344827586,0.25517241379310346,0.056896551724137934
7,11.0,back to office & physical and mental health,183,0.5628415300546448,0.18579234972677597,0.25136612021857924
8,0.0,"recommendation (lonely, productivity, etc.)",79,0.8354430379746836,0.02531645569620253,0.13924050632911392
9,2.0,life style & work-life balance,217,0.6589861751152074,0.12442396313364056,0.21658986175115208
10,3.0,"team, coworkers & boss",392,0.6428571428571429,0.1377551020408163,0.2193877551020408
11,1.0,time management,37,0.6486486486486487,0.10810810810810811,0.24324324324324326
